Day	Part	Part Number	Part Color	Section	Section Number	Chapter	Chapter Number	Paragraph Start	Paragraph End	Also Read
1	Prologue		Dark Teal					1	10	
2								11	25	
3	Introduction to Part 1	1	Teal							
4	What We Believe	1		Divine Revelation	1	The Search	1	26	35	
5								36	43	
6								44	49	
7						The Revelation	2	50	58	
8								59	64	
9								65	73	
10								74	79	
11								80	87	
12								88	95	
13								96	100	
14								101	108	
15								109	114	
16								115	119	
17								120	127	
18								128	133	
19								134	141	
20						The Response	3	142	149	
21								150	155	
22								156	162	
23								163	169	
24								170	175	
25								176	184	
26				The Creed	2	The Father	1	185	192	The Credo
27								193	197	
28								198	204	
29								205	211	
30								212	221	
31								222	231	
32								232	237	
33								238	242	
34								243	248	
35								249	252	
36								253	256	
37								257	260	
38								261	267	
39								268	278	
40								279	284	
41								285	289	
42								290	298	
43								299	308	
44								309	314	
45								315	324	
46								325	330	
47								331	336	
48								337	343	
49								344	354	
50								355	361	
51								362	368	
52								369	373	
53								374	384	
54								385	390	
55								391	395	
56								396	401	
57								402	406	
58								407	412	
59								413	421	
60						The Son	2	422	429	
61								430	435	
62								436	440	
63								441	445	
64								446	455	
65								456	463	
66								464	469	
67								470	474	
68								475	483	
69								484	489	
70								490	494	
71								495	501	
72								502	511	
73								512	521	
74								522	526	
75								527	534	
76								535	540	
77								541	546	
78								547	553	
79								554	560	
80								561	570	
81								571	576	
82								577	582	
83								583	586	
84								587	594	
85								595	598	
86								599	605	
87								606	612	
88								613	623	
89								624	630	
90								631	637	
91								638	644	
92								645	650	
93								651	658	
94								659	667	
95								668	674	
96								675	682	
97						The Holy Spirit	3	683	688	
98								689	693	
99								694	701	
100								702	710	
101								711	720	
102								721	730	
103								731	736	
104								737	747	
105								748	752	
106								753	757	
107								758	766	
108								767	771	
109								772	780	
110								781	786	
111								787	791	
112								792	796	
113								797	810	
114								811	816	
115								817	822	
116								823	829	
117								830	838	
118								839	848	
119								849	856	
120								857	862	
121								863	870	
122								871	879	
123								880	887	
124								888	896	
125								897	903	
126								904	913	
127								914	924	
128								925	933	
129								934	945	
130								946	953	
131								954	962	
132								963	970	
133								971	975	
134								976	987	
135								988	996	
136								997	1004	
137								1005	1011	
138								1012	1019	
139								1020	1029	
140								1030	1037	
141								1038	1041	
142								1042	1050	
143								1051	1065	
144	Introduction to Part 2	2	Red							
145	How We Worship	2		The Liturgy	1	The Mystery	1	1066	1075	
146								1076	1083	
147								1084	1090	
148								1091	1098	
149								1099	1103	
150								1104	1112	
151								1113	1121	
152								1122	1126	
153								1127	1129	
154								1130	1134	
155						The Celebration	2	1135	1144	
156								1145	1152	
157								1153	1158	
158								1159	1162	
159								1163	1167	
